12-05-2022 13:48:21 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:48:21 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:5 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:12 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:19 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:19 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:9 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:20 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:20 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:8 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:20 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:56:20 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:08 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:10 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:11 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:18 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:23 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:6 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 13:59:32 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:14 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:24 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:27 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:29 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:29 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:30 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:30 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
12-05-2022 14:03:30 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
